FlexSite	UnitCode	Description	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
AU21	115	ELECTROLYTE PANEL	1	1	0	1	0	2	2	0	0	0	0	0
AU21	119	THYROID II PROFILE (T3U, T4, T7, TSH)	2	2	2	1	4	2	1	6	2	1	3	1
AU21	142	BASIC METABOLIC PANEL	39	32	29	26	25	27	34	34	22	30	17	24
AU21	145	BASIC METABOLIC PROFILE + e-GFR	0	0	0	0	0	0	0	0	3	1	0	0
AU21	162	HEPATITIS PANEL, DIAGNOSTIC	1	0	0	0	0	0	1	0	2	0	0	1
AU21	170	LIPID PANEL WITH CALCULATED VLDL	0	0	0	1	0	0	0	0	0	0	0	0
AU21	173	LIPID PANEL	22	12	20	8	7	20	15	21	15	14	12	14
AU21	174	LIPID PANEL WITH REFLEX DIRECT LDL	0	1	0	0	0	0	0	1	0	0	0	0
AU21	176	LIPID PANEL WITH CALC TRIG/HDL RATIO	0	0	0	0	0	0	0	0	0	0	1	0
AU21	200	LIPID PROFILE WITH CALC NON-HDL CHOLESTEROL	0	0	1	1	0	1	0	1	0	2	0	0
AU21	205	LIPID PROFILE WITH CALCULATIONS AND NON-HDL CHOLESTEROL	0	0	0	0	0	0	0	0	0	0	1	0
AU21	210	BILIRUBIN, NON-NEWBORN, TOTAL AND DIRECT	0	0	0	0	0	0	0	1	1	0	0	1
AU21	329	GLUCOSE, 1 HR, GESTATIONAL SCREEN, 50 GM LOAD	42	48	65	27	28	51	38	39	33	41	38	45
AU21	403	VON WILLEBRAND PANEL	1	0	0	0	0	0	0	0	1	0	1	0
AU21	410	BILIRUBIN, NEWBORN, TOTAL AND DIRECT	31	28	27	31	42	34	38	40	44	56	39	31
AU21	438	FSH + LH PROFILE	2	2	1	1	0	1	0	0	1	0	1	1
AU21	514	OBSTETRIC PANEL	2	2	2	1	4	1	3	1	1	1	1	1
AU21	518	OBSTETRIC PANEL + HIV	3	1	3	0	4	1	1	0	0	1	0	1
AU21	519	OBSTETRIC PANEL + HIV	1	0	0	0	0	0	1	0	0	0	0	0
AU21	600	WILD 1	1	1	0	0	0	0	0	0	0	0	0	0
AU21	810	PATIENT RECORDS REQUEST, CURRENT	0	1	0	0	0	0	0	0	0	0	1	0
AU21	902	PTH, INTACT, WITH CALCIUM, PHOSPHORUS, CREATININE	0	0	1	0	2	0	0	0	2	0	0	0
AU21	919	PHLEBOTOMY FEE, NON-CPL PATIENT	8	1	3	7	6	8	12	17	5	9	4	0
AU21	920	PHLEBOTOMY FEE - SINGLE	744	804	837	716	771	768	794	795	688	828	766	641
AU21	922	URINE MEASUREMENT FEE	0	0	0	0	1	1	2	1	0	0	1	1
AU21	925	PHLEBOTOMY FEE - CAPILLARY BLOOD	158	123	115	104	134	154	108	119	86	126	115	101
AU21	926	H PYLORI BREATH COLLECTION FEE	1	0	1	0	0	0	0	0	0	0	0	0
AU21	942	TIQ UNMAPPED TEST	0	0	0	0	0	0	0	0	0	1	1	0
AU21	989	PATIENT DECLINED TEST(S)	0	1	0	0	2	0	0	2	1	1	1	1
AU21	990	REQ/SPECIMEN NAME MISMATCH	0	0	0	0	0	0	0	1	0	0	0	0
AU21	991	UNLABELLED SPECIMEN	0	0	1	0	1	0	0	0	0	0	0	0
AU21	995	HEMATOLOGY PATH CHECK	0	0	0	1	0	0	1	0	1	0	0	0
AU21	996	STANDING ORDER	5	9	13	7	11	6	8	10	10	13	13	9
AU21	997	 	87	72	71	46	50	49	48	42	49	46	36	46
AU21	998	MULTIPLE ORDERS	16	18	33	22	21	17	23	32	21	11	38	21
AU21	1000	CBC W/AUTO DIFF WITH PLATELETS	232	253	220	203	212	201	223	252	203	216	212	209
AU21	1007	CBC WITH MANUAL DIFFERENTIAL	5	2	3	3	2	1	1	2	1	6	1	1
AU21	1011	CBC WITH ABSOLUTE NEUTROPHIL COUNT	1	1	0	1	2	1	1	2	2	2	0	0
AU21	1014	CBC WITH ABSOLUTE WHITE BLOOD CELLS	0	0	1	1	0	0	0	0	1	1	0	0
AU21	1016	CBC WITH MANUAL DIFFERENTIAL AND ABSOLUTE WBC	0	0	0	0	2	0	0	0	0	0	0	0
AU21	1017	CBC WITH ABSOLUTE WBCS AND MPV	2	1	2	4	1	0	2	0	2	1	1	4
AU21	1022	PATHOLOGIST SMEAR REVIEW	1	0	5	1	0	0	0	0	0	0	3	1
AU21	1024	HEMATOLOGY REVIEW, MAIN LAB	0	0	0	0	0	0	0	0	0	0	1	0
AU21	1025	HEMOGLOBIN	0	0	0	0	0	1	1	0	3	1	0	4
AU21	1035	HEMOGLOBIN AND HEMATOCRIT	1	0	0	0	0	3	1	0	0	1	1	0
AU21	1041	CBC W/O DIFF, WITH PLATELETS	27	40	39	44	48	31	48	53	35	28	29	16
AU21	1045	PLATELET COUNT	0	0	3	1	2	4	0	2	1	5	2	2
AU21	1049	ADD ON PATHOLOGIST SMEAR REVIEW	0	0	0	0	2	0	0	0	0	1	0	0
AU21	1050	RETICULOCYTE COUNT	1	0	4	0	2	1	1	1	3	0	0	2
AU21	1055	SEDIMENTATION RATE	8	19	15	11	18	8	12	18	14	24	15	10
AU21	1090	FERNING, AMNIOTIC FLUID	2	1	1	1	0	0	1	1	0	2	1	0
AU21	1280	REGION X (TX,OK) IgE PANEL WITH TOTAL IgE	0	1	0	0	0	0	0	0	0	0	0	0
AU21	1350	SEMEN STUDY	11	11	14	13	14	12	9	18	19	17	16	7
AU21	1352	RETROGRADE EJACULATION SPERM COUNT	0	1	1	0	0	0	0	0	0	0	0	0
AU21	1355	SPERM COUNT	1	0	0	0	1	0	0	2	0	2	0	1
AU21	1369	 CALCULATED ABSOLUTE WBC COUNTS	0	0	0	0	1	0	0	0	0	0	0	0
AU21	1374	BLOOD FILM PARASITE SMR	0	1	0	0	0	0	0	0	0	0	0	0
AU21	1385	SPERM EXAM, POST VASECTOMY	7	5	8	4	9	10	11	21	5	7	8	10
AU21	1401	PROTIME AND PTT	1	0	2	1	2	1	1	2	3	1	2	2
AU21	1425	PROTHROMBIN TIME (PT)	33	30	44	36	30	43	36	55	42	42	38	33
AU21	1430	PTT	13	8	10	9	4	15	8	17	16	5	7	5
AU21	1435	D-DIMER	0	3	2	0	2	7	2	2	0	1	3	0
AU21	1441	THROMBIN TIME	0	0	0	0	0	0	0	0	1	0	0	0
AU21	1465	vWF ANTIGEN	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1485	LUPUS ANTICOAGULANT SCREEN, REFLEX CONFIRMATION	0	1	0	0	0	1	0	0	1	0	0	1
AU21	1490	ANTITHROMBIN III ACTIVITY	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1499	PLATELET FUNCTION ASSAY	0	0	0	0	0	0	0	1	1	0	1	0
AU21	1500	MANUAL MICROSCOPIC REFLEX	6	12	9	8	11	18	15	13	15	10	11	13
AU21	1501	URINALYSIS W/REFLEX MICRO	10	13	12	8	12	16	13	9	14	8	8	14
AU21	1502	 ICTO REFLEX	2	0	4	1	3	1	1	1	1	1	2	0
AU21	1505	URINALYSIS WITH MICROSCOPIC	13	13	17	11	17	8	11	9	6	11	6	8
AU21	1506	UA W/MICRO HOLD SPEC 24 HR	0	0	0	1	2	1	0	0	1	0	0	0
AU21	1510	MICROSCOPIC URINALYSIS	0	1	0	1	0	0	0	0	1	0	0	0
AU21	1515	UROGRAM	0	0	0	0	0	0	0	1	0	0	0	0
AU21	1520	SPECIFIC GRAVITY, URINE	0	0	0	0	0	0	0	0	0	1	0	0
AU21	1522	PEANUT COMPONENT IgE PROFILE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1540	PREGNANCY TEST, URINE	0	0	0	0	2	0	0	0	0	1	0	0
AU21	1547	OVOMUCOID IgE	0	0	0	0	0	1	0	0	0	0	0	0
AU21	1549	EGG, WHOLE IgE	0	0	0	0	0	1	0	0	0	0	0	0
AU21	1672	FIRE ANT IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1727	ALMOND IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1736	BRAZIL NUT IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1742	CASHEW NUT IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1749	CLAM IgE	0	0	0	0	0	0	0	0	0	1	0	0
AU21	1750	COD FISH IgE	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1751	CORN IgE	0	0	0	0	0	0	0	0	0	1	0	0
AU21	1754	EGG WHITE IgE	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1762	HAZEL NUT/FILBERT IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1778	PEANUT IgE**	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1784	PISTACHIO NUT IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1796	SCALLOP IgE	0	0	0	0	0	0	0	0	0	1	0	0
AU21	1797	SESAME SEED IgE	0	0	0	0	0	0	0	0	0	1	0	0
AU21	1798	SHRIMP IgE	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1799	SOYBEAN IgE	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1806	WALNUT IgE	0	0	1	0	0	0	0	0	0	1	0	1
AU21	1808	WHEAT IgE	0	0	1	0	0	0	0	0	0	1	0	0
AU21	1822	CHESTNUT, SWEET IgE	0	0	0	0	0	0	0	0	0	0	0	1
AU21	1902	OVALBUMIN IgE	0	0	0	0	0	1	0	0	0	0	0	0
AU21	2020	AMMONIA	0	1	1	0	1	0	1	1	0	0	0	0
AU21	2025	AMYLASE	7	7	4	3	9	3	5	3	5	6	4	1
AU21	2030	VAGINAL PATHOGENS DNA PANEL	0	0	0	0	0	0	0	1	0	0	0	0
AU21	2035	CALC INDIR BILIRUBIN, NB	0	0	0	0	0	0	0	0	0	0	1	0
AU21	2036	BILIRUBIN, DIRECT	0	0	0	0	0	0	0	0	0	1	0	0
AU21	2040	BILIRUBIN, TOTAL NEWBORN	33	45	26	33	48	39	49	47	52	62	42	33
AU21	2041	BILIRUBIN, DIRECT NB	16	27	13	13	11	17	32	28	30	27	20	14
AU21	2045	RANDOM GLUCOSE	0	0	0	0	0	0	1	0	0	1	0	0
AU21	2052	CALCIUM, URINE, 24 HR	0	0	0	0	1	0	0	0	0	0	0	0
AU21	2070	CKMB	0	1	1	0	1	0	1	0	0	0	0	0
AU21	2074	CKMB IMMUNOCHEMICAL ASSAY	0	0	1	0	0	0	0	0	0	0	1	0
AU21	2075	CK, TOTAL	0	2	2	3	1	0	0	6	3	3	1	2
AU21	2079	CREATININE CLEARANCE, 24 HR	0	0	1	1	0	1	2	2	3	1	2	2
AU21	2081	CREATININE, RANDOM URINE	0	1	0	2	1	1	1	3	1	0	0	0
AU21	2090	FERRITIN	7	5	5	6	4	4	5	6	5	7	8	3
AU21	2092	FIBRINOGEN	0	2	1	0	0	0	0	0	1	0	1	1
AU21	2106	GLUCOSE 1 HR POST 50 GM	10	1	5	2	4	7	7	7	9	7	2	6
AU21	2107	GLUCOSE 2 HR POST-MEAL	0	1	0	0	0	0	0	0	0	0	0	0
AU21	2110	GLUCOSE TOLERANCE, 2 HR, 75 GM LOAD	0	1	3	1	0	3	0	1	2	0	2	0
AU21	2111	GLUCOSE TOLERANCE, 3 HR, GESTATIONAL, DIAGNOSTIC, 100 GM LOAD	5	11	7	5	2	1	0	1	0	0	0	0
AU21	2118	IRON BINDING CAPACITY AND IRON AND % SATURATION	7	3	6	6	2	1	5	5	3	3	3	3
AU21	2119	LACTIC ACID, PLASMA	0	0	0	0	0	0	1	0	0	0	0	0
AU21	2124	LIPASE	7	9	7	6	12	3	6	2	5	5	4	0
AU21	2128	LITHIUM	1	1	1	1	0	1	1	1	0	1	1	1
AU21	2130	MAGNESIUM	26	29	18	23	13	20	30	43	31	39	25	23
AU21	2133	OSMOLALITY, SERUM	0	0	0	0	1	0	1	0	0	1	0	0
AU21	2134	OSMOLALITY, URINE	0	0	0	0	0	0	1	0	0	1	0	0
AU21	2149	PROTEIN, 24 HOUR URINE	0	0	2	1	0	1	2	2	3	1	2	2
AU21	2150	PROTEIN, RANDOM URINE	0	1	0	2	1	1	1	3	1	0	0	0
AU21	2159	PROTEIN/CREATININE RATIO, URINE, RANDOM	1	0	0	2	2	1	1	0	1	3	0	4
AU21	2201	ALBUMIN	1	0	0	0	0	0	0	1	0	0	0	0
AU21	2204	ALKALINE PHOSPHATASE	0	2	0	0	0	0	0	0	0	1	0	0
AU21	2207	BILIRUBIN, TOTAL	0	2	2	0	0	1	0	1	0	0	0	1
AU21	2208	BUN	1	4	5	4	3	6	3	5	3	5	3	0
AU21	2209	CALCIUM	5	4	5	2	3	0	2	2	2	4	2	2
AU21	2210	CHOLESTEROL	0	1	0	0	0	1	0	0	0	0	0	0
AU21	2214	CREATININE	2	6	8	7	4	8	5	6	4	6	4	5
AU21	2216	GGT	2	5	6	2	6	2	1	7	6	5	2	1
AU21	2217	GLUCOSE	1	3	0	0	5	1	3	13	8	5	3	5
AU21	2218	AST	0	2	0	0	0	5	0	1	2	1	1	3
AU21	2219	ALT	0	6	3	2	1	3	0	1	2	2	1	1
AU21	2222	IRON, SERUM	0	0	0	0	0	2	2	2	0	1	1	0
AU21	2224	LDH	3	2	0	3	9	4	10	13	11	13	11	7
AU21	2227	PHOSPHORUS	15	19	9	17	11	18	16	26	6	13	12	14
AU21	2228	POTASSIUM	2	5	2	4	6	5	2	1	6	3	3	3
AU21	2231	SODIUM	0	0	0	0	0	2	1	0	1	0	0	0
AU21	2232	TRIGLYCERIDES	6	8	2	3	3	4	2	5	0	0	3	0
AU21	2233	URIC ACID	6	6	3	6	5	4	6	9	5	5	2	1
AU21	2236	CALCIUM, IONIZED	1	0	1	0	0	0	0	0	0	0	0	0
